id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
acDTjeAKn3aHjlseAglmLMg7-qL8x-IiPLR_QNAhoT823afQECu_T6JglMWg1IUdU6Hb4Q==,Kab. Deli Serdang,Prov. Sumatera Utara,,,Alih Bentuk,Akademi Keperawatan Binalita Sudama,Swasta,1,
G_HoUtD2ilVsq3x9hmh4nW8XniQMnyA8bVlMuhiLwhhdOpJo1RmwKVC-roFOW8Xs4xlBHA==,Kab. Bogor,Prov. Jawa Barat,,,Pembinaan,Sekolah Tinggi Ekonomi dan Bisnis Islam Persatuan Ummat Islam Bogor Jawa Barat ,Agama,1,
i5syq_HXOYm58nUv20GRNCwydkk1K_4LLfCsyO_uYgosfLrg-QDRZdX3MYTDVDyygALikw==,Tidak Diisi,Prov. Riau,,,Alih Kelola,Akademi Kebidanan Dayang Suri,Swasta,1,
"wWwkipr86JwDHAQS941fx7A7eQ3p9K7QwfxacCf53ElGxFjIarewYxjGN0JUtr-lr2SYdg==,Kota Yogyakarta,Prov. D.I. Yogyakarta,B,""STIA """"AAN"""""",Aktif,Sekolah Tinggi Ilmu Administrasi Aan,Swasta,4,200.000 - 5.560.000"
61SXfA8aqvfnWLt75gqY6Tc9FCZwLM1AX91LsZ8zZYQdL5SS7J5IodenN0LfCyBmc1nhZA==,Kota Bandung,Prov. Jawa Barat,,STAI PENUS,Aktif,Sekolah Tinggi Agama Islam Pelita Nusa Bandung Barat,Agama,2,
Qx8k7QO3uKO3mjfAC3Blxb5fHXYjVxi-QRA7UMcFm0VUtM0yqLNz1ztwqvNii4YkDKYybA==,Kota Banda Aceh,Prov. Aceh,Unggul,UINAR,Aktif,Universitas Islam Negeri Ar-Raniry Banda Aceh,Agama,57,400.000 - 2.927.000
5pc_mrLGyYd_m4Crx51qyDoeJfEeH0d8AicbIwnXOD6aFbHxCOeb2q1O_zYtvQIT9N1MKA==,Kota Tangerang,Prov. Banten,Baik,STAI Asy-Syukriyyah,Aktif,STAI Asy-Syukriyyah Tangerang,Agama,5,
dKQKD-eITRNf_75y3GBlSutu59afsqV5dRdNm4a3j4cDEDZqF2LfV2kO9G6kteCaJ4W6YQ==,Kab. Banyuasin,Prov. Sumatera Selatan,Baik,STTS,Aktif,STT Sriwijaya Palembang,Agama,2,1.000.000 - 1.000.000
SzLEHFN8ZCDYAqWDPHnek-n3VgtQO5KRd0yKdtfLN4oCjawba4c2LxsDcSatp1N8pZSiiQ==,Kab. Toba Samosir,Prov. Sumatera Utara,,Akademi Farmasi,Alih Bentuk,Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti,Swasta,1,
dvXc4BqpwHUpkfxpcjGOwY_bCadIuPD3WeFKad1Kse1dTn_VJp-DNSs5ywShoY0AWhR4_g==,Kota Surakarta,Prov. Jawa Tengah,,,Alih Bentuk,Akademi Teknologi Bank Darah Surakarta,Swasta,1,
c0UB22VZ9EUMgFDVaSb4ghYjhuvfu2noDC24JTFR7CAFdNT7-cWJ4wueFyQwTVSLbvTJOQ==,Kab. Ciamis,Prov. Jawa Barat,Baik,STEI Ar-Risalah Ciam,Aktif,STEI Ar Risalah Ciamis Jawa Barat ,Agama,2,950.000 - 1.200.000
JVW30AiFfMUDjIGSxlpRCE2BWsX-wdZ9osQ-lwYCnjxgWA7QgZU_-xQ6-wqYV3x9r8_jmg==,Kota Binjai,Prov. Sumatera Utara,,,Tutup,Akademi Kebidanan Eunice Rajawali Binjai,Swasta,1,
PgaI8ne_cz_XtCB5GUeqrjMnInYTSaE_oZb4To1t5x426RXKP6O20906wv69TpphM_qXKw==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,STDI Interstudi,Aktif,Sekolah Tinggi Desain Interstudi,Swasta,4,9.000.000 - 9.000.000
ctR9x88NJACRQGXc4lHRZNSOGiGWdfVbJJE6OfqNLvCVu0JeSOlxDpg3IvBzEFaNqbi5-w==,Kab. Bengkalis,Prov. Riau,Baik Sekali,Polbeng,Aktif,Politeknik Negeri Bengkalis,Negeri,26,500.000 - 3.000.000
9KCUOT2JqncG6nwNE1OC41QY4lJwjw2dBU_ddSYfOAqeCMRlxDPCNyrfHHSpQueqIi3yAg==,Kota Jakarta Utara,Prov. D.K.I. Jakarta,Baik Sekali,STIP,Aktif,Sekolah Tinggi Ilmu Pelayaran Jakarta,Kedinasan,5,
Utqa4HToSDT-Sr8gkzVq6QU99n8zdWdk93DYj0COOp7Sr1UNYNwslhVPk_GAtHJqQNOOeQ==,Kota Bandung,Prov. Jawa Barat,Unggul,UNIKOM,Aktif,Universitas Komputer Indonesia,Swasta,34,250.000 - 16.650.000
XLlH0vAjOP9iKpO5OEpfJ2vF6U0S6YDhhAaIPo7mro-y2LYzApAG5wRuJHtRrcrdKkgSBw==,Kab. Mandailing Natal,Prov. Sumatera Utara,,AKBID MADINA HUSADA,Aktif,Akademi Kebidanan Madina Husada,Swasta,1,2.500.000 - 2.500.000
"ZKbadAovsLg1I0I_7sO5adcyKClX-CwnVz79q4qKAVVUQI1OEaKKaIddpLnNydAQhn8xTQ==,Kab. Sukoharjo,Prov. Jawa Tengah,Baik,""STT """"WARGA"""""",Aktif,""Sekolah Tinggi Teknologi """"Warga"""" Surakarta"",Swasta,5,6.000.000 - 6.000.000"
7OuiUYhZVHMTeqerPRy4IwlQJ2vj16WkLD6l4__aBE9HX4ZQLkVVZNi-UmwczAHD-Jsyow==,Kota Makassar,Prov. Sulawesi Selatan,,,Aktif,STT INTIM Makassar,Agama,3,
KnQlat-_3F8jXLJ1YZd3FkmFoZ8D-IzAaJHxeN9I4M33KHHgrbCEEenAcLwlBNUDbPxkqg==,Kota tangerang Selatan,Prov. Banten,Unggul,UMJ,Aktif,Universitas Muhammadiyah Jakarta,Swasta,63,275.000 - 21.600.000
RGgdGhQyO16xS_oXQyDFoblMJ4IIS4PU2-uJzcEA1FofvxEsDul5xfqspkXRe8Z72rrN-g==,Kota Bandar Lampung,Prov. Lampung,B,IMPM,Aktif,Institut Maritim Prasetiya Mandiri,Swasta,7,5.000.000 - 5.000.000
TZTUr0IkLS-Xzbsq-o6gwLYDQE2c-g_YEpcEH6DeiUv8wm2UNec7wOMS7lTXeTuDhqJ_xw==,Kab. Lombok Utara,Prov. Nusa Tenggara Barat,Baik,STIT ISLAMIYAH NTB,Aktif,Sekolah Tinggi Ilmu Tarbiyah (STIT) Islamiyah Nusa Tenggara Barat,Agama,1,1.200.000 - 1.200.000
TggskAC2FxVEjT54KFHujSHBdLbJY8msd4-22c1ZkKNfHI2_we89fSfHLB_blJg1NEkKwQ==,Kota Makassar,Prov. Sulawesi Selatan,Baik Sekali,STIMI YAPMI Makassar,Aktif,Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI,Swasta,1,
"al1_T-qJMtx2HcCbiUy2wmAx6pEnor6h5HYCR9HPRrDNEY4WgBaL7HdKwAFQGxoT1l3yEg==,Kota Makassar,Prov. Sulawesi Selatan,Baik,STAI Al Furqan MKS,Aktif,""STAI Al-Furqan Makassar, Sulawesi Selatan"",Agama,6,"
2SmtKwwz1LVU52GRDfHp7EPEmmtiODQ9Jf09rZbDu-Fh80MqbksSiVn9sX8CL5e7P_xXKw==,Kota Balikpapan,Prov. Kalimantan Timur,Baik Sekali,STIE Balikpapan,Aktif,Sekolah Tinggi Ilmu Ekonomi Balikpapan,Swasta,2,2.400.000 - 4.000.000
NcCj0ZP4a5h_q3WLg5t9ZeJb3X1R8tKV2D5NxtUFu1zDzghkYupa_Gz2QOhg2nud2q0POw==,Kota Bogor,Prov. Jawa Barat,Baik,Akatek,Aktif,Akademi Teknologi Bogor,Swasta,2,4.000.000 - 4.000.000
3HQ0xHk0n_sNlY4PYXM3KS2QtcCqqBovscRq7fHf74Dnc3lRzQAsRDdzefyvCpah9HDmqg==,Kota Gorontalo,Prov. Gorontalo,Baik,STMIK Ichsan,Alih Bentuk,Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Swasta,5,
PeaYHoRsXP7PKRyAwmqH60SXNQVXMdvknRmi5MOoZeD2xWio6zxJXOEoikAqhrP6yvX2xw==,Kota Payakumbuh,Prov. Sumatera Barat,Baik,STT-PAYAKUMBUH,Aktif,Sekolah Tinggi Teknologi Payakumbuh,Swasta,3,
_PaJSgZ9c2ooMF2Ytfp0DvwTVhw6fnAsgOcan28PSEJE51EBLDdeUVBKT_MZhpGaocHjrg==,Kab. Tabanan,Prov. Bali,B,IKIP SARASWATI,Aktif,IKIP Saraswati,Swasta,7,3.190.000 - 5.000.000
tSX4V5ICGS7tnnY-aCLPrQ5PbJKGl-iAkciuHhJsoxC95pNgKNZArXfbjFDz8QiO5zRQgg==,Kab. Sumenep,Prov. Jawa Timur,Baik,UA,Aktif,Universitas Annuqayah,Swasta,8,
